area;planta;tratamento;trat_cut;trat_fert;fertilizant;cut;CAP_2015;num_frutos_2015;biomassa_frutos_2015;totalphenols_g_1g_plant;hydrolyzable_g_1g_plant;condensed_g_1g_plant;tannins_g_1g_plant;number_seed_avalability;percentage_seed_avalability;area_semente;biofruto;media_carbs_totais;media_prots_totais;gords_totais;prot_carb;prot_lip;carb_lip;taxa_predco;taxa_predlep;taxa_predhy;taxa_pred_total;totalphenols_g_1g_fruit;totalphenols_g_1g_seed;hydrolyzable_g_1g_fruit;hydrolyzable_g_1g_seed;condensed_g_1g_fruit;condensed_g_1g_seed
A2;F07;3F;no;yes;1;0;25.61;2;2.99;0;0.01;0.33;0.33;4;0.44;21.64;1.48;;;;;;;;;;;0;;0;;0.33;
A2;F08;3F;no;yes;1;0;33.5;0;0;0;0.01;0.2;0.2;;;;;;;;;;;;;;;;;;;;
A2;F09;3F;no;yes;1;0;23;9;46.42;0;0;0.32;0.19;10.5;0.96;37.26;4.49;0.38;0.2;0.01;0.51;28.26;54.96;0.06;0.42;0.14;0.62;0;;0;;0.46;
A1;C01;2C;no;no;0;0;51.59;88;235.7;0;0;0.24;0.44;8.12;0.74;27.62;3.05;0.34;0.2;0.01;0.58;16.48;28.37;0.05;0.27;0.03;0.35;0;0.01;0;0;0.23;0.15
A1;C02;2C;no;no;0;0;52.5;369;1789.77;0;0;0.13;0.19;12.45;0.98;30.31;3.95;0.36;0.18;0.02;0.49;11.16;22.55;0.1;0.33;0.1;0.52;0;0.01;0;0;0.23;0.07
A1;C03;2C;no;no;0;0;35.4;38;89.76;0;0;0.24;0.11;;;;;;;;;;;;;;;0;;0;;0.37;
A1;C04;2C;no;no;0;0;38;6;19.98;0;0;0.24;0.14;8.83;0.71;24.71;3.04;0.33;0.18;0.01;0.55;13;23.6;0;0.41;0;0.41;0;;0;;0.35;
A1;C05;2C;no;no;0;0;31.5;0;0;0;0.01;0.3;0.31;;;;;;;;;;;;;;;;;;;;
A1;C06;2C;no;no;0;0;40;105;305.38;0;0;0.24;0.41;11.45;0.92;28.33;3.4;0.38;0.22;0.01;0.57;24.31;42.42;0.18;0.49;0;0.67;0;0.01;0;0;0.29;0.12
A1;C07;2C;no;no;0;0;33.5;9;18.97;0;0;0.3;0.26;5.78;0.71;29.27;3.04;0.36;0.19;0.01;0.53;21.59;40.52;0.05;0.21;0;0.27;0;;0;;0.35;
A1;C08;2C;no;no;0;0;24.5;152;423.98;0;0.01;0.33;0.19;12.72;0.99;31.51;7.24;0.24;0.24;0.01;1;18.18;18.18;0.02;0.74;0.08;0.84;;;;;;
A1;C09;2C;no;no;0;0;36;2;7.24;0;0.01;0.16;0.17;4;0.36;26.32;1.76;0.28;0.16;0.01;0.57;15.75;27.55;0;0.07;0;0.07;;;;;;
A1;C10;2C;no;no;0;0;36;77;280.9;0;0;0.17;0.3;9.17;0.75;29.31;4.04;0.34;0.21;0.02;0.61;9.55;15.64;0.05;0.22;0.02;0.3;0;0.01;0;0;0.19;0.24
A2;C01;2C;no;no;0;0;23.5;19;30.28;0;0;0.3;0.23;8.26;0.89;21.05;1.54;0.33;0.16;0.01;0.49;18.28;37.05;0.13;0.35;0.11;0.59;0;;0;;0.38;
A2;C02;2C;no;no;0;0;33.37;92;223.19;0;0;0.21;0.35;10.79;0.9;30.07;3.78;0.37;0.19;0.01;0.52;19.43;37.2;0.18;0.39;0.08;0.65;0;0.01;0;0;0.26;0.04
A2;C03;2C;no;no;0;0;33.87;19;118.07;0;0;0.4;0.38;12.33;0.9;29.43;6.19;0.4;0.18;0.01;0.43;17.5;40.26;0.19;0.33;0.03;0.55;0;;0;;0.41;
A2;C05;2C;no;no;0;0;25.61;73;573.98;0;0;0.25;0.3;11.41;0.92;32.23;6.74;0.37;0.19;0.01;0.51;23.41;46.3;0.06;0.58;0.12;0.76;0;0.01;0;0;0.55;0.19
A2;C06;2C;no;no;0;0;29;37;89.76;0;0;0.24;0.13;11.11;0.91;30.12;2.4;0.25;0.19;0.01;0.77;21.2;27.54;0.01;0.77;0.04;0.81;0;;0;;0.36;
A2;C07;2C;no;no;0;0;28;6;28.81;0;0;0.26;0.22;10.17;0.86;24.03;4.25;0.32;0.19;0.01;0.61;21.4;35.16;0.15;0.58;0.06;0.79;0;;0;;0.31;
A2;C08;2C;no;no;0;0;28.43;73;296.13;0;0;0.13;0.18;10.63;0.93;37.24;4.82;0.42;0.21;0.01;0.51;16.42;32.15;0.17;0.55;0.02;0.74;0;0.01;0;0;0.22;0.01
A2;C09;2C;no;no;0;0;33.26;61;208.65;0;0;0.18;0.14;9;0.86;26.67;3.36;0.24;0.19;0.01;0.78;19.08;24.49;0.06;0.49;0.04;0.59;0;0.01;0;0;0.45;0.03
A2;C10;2C;no;no;0;0;24;12;54.73;0;0;0.25;0.15;6.35;0.58;21.57;3.19;0.31;0.22;0.01;0.7;27.13;38.62;0;0.28;0.11;0.39;0;;0;;0.35;
